Timestep,Time [s],Drive_Pos [x(t)],Drive_Vel [vx(t)],Drive_Acc [ax(t)],Mass_Pos [p(t)],Mass_Vel [v(t)],Mass_Acc [a(t)]
0,0.0,0.0,3.2231023791632896,-4.77073286576336,-1.981,0.0,0.0
1,0.1,0.29748787806963817,2.726655182229474,-5.158211072912959,-1.981,0.0,2.9748787806963843
2,0.2,0.5453310364458948,2.1914601645806977,-5.618502789396157,-1.9512512121930363,0.29748787806963845,4.8583346083196695
3,0.30000000000000004,0.7357799109857778,1.6029546243502424,-5.918936023592842,-1.8729190783028757,0.7833213389016054,5.49366855398493
4,0.4,0.8659219613159432,1.0076729598621292,-5.779347977450522,-1.739650258872866,1.3326881943000983,4.913034007587989
5,0.5,0.9373145029582036,0.447085028860138,-5.262291227437874,-1.5572510993669761,1.8239915950588972,3.3116644281928984
6,0.6000000000000001,0.9553389670879708,-0.04478528562544548,-4.449981238512701,-1.3417352955791575,2.155158037878187,1.0055845887930968
7,0.7000000000000001,0.9283574458331145,-0.44291121884240225,-3.435943388641779,-1.1161636459034079,2.2557164967574965,-1.6205055793922742
8,0.8,0.8667567233194904,-0.7319739633538014,-2.316869222703666,-0.906797052021581,2.093665938818269,-4.1681281854075545
9,0.9,0.7819626531623542,-0.9062850633831354,-1.1852439930026797,-0.7391117399938296,1.6768531202775137,-6.276109188715676
10,1.0,0.6854997106428633,-0.9690227619543373,-0.12318290095682638,-0.634187519853235,1.0492422014059462,-7.6623698964449645
11,1.1,0.5881581007714868,-0.9309216435745007,0.8022274611179453,-0.60588699867709,0.28300521176144966,-8.152554217275682
12,1.2000000000000002,0.49931538192796315,-0.8085772697307483,1.5419309904063176,-0.6591120196737018,-0.5322502099661186,-7.693475774017233
13,1.3,0.4264426468253371,-0.6225354454932371,2.066233954731597,-0.789271798410486,-1.301597787367842,-6.351257760273928
14,1.4000000000000001,0.3748082928293157,-0.3953304787844289,2.364575715664048,-0.9829441547500095,-1.9367235633952347,-4.295751960811513
15,1.5,0.34737655106845133,-0.14962030236042756,2.4439464498433425,-1.2195740306976481,-2.3662987594763862,-1.7741954228626184
16,1.6,0.3448842323572302,0.09345881118423965,2.326232128197714,-1.4739458608739129,-2.543718301762648,0.9220192340740763
17,1.7000000000000002,0.36606831330529926,0.3156261232791152,2.0448100401951037,-1.719097498709437,-2.4515163783552403,3.4931744985026025
18,1.8,0.40800945701305324,0.5024208192232604,1.6407325646313724,-1.9293173915599349,-2.10219892850498,5.665467414234859
19,1.9000000000000001,0.46655247714995135,0.6437726362053897,1.1588251609338196,-2.082882610268084,-1.535652187081494,7.220003061261847
20,2.0,0.5367639842541312,0.7341858514100243,0.6439907401891543,-2.1642477983636152,-0.8136518809553093,8.013769707132772
21,2.1,0.6133896474319562,0.7725707842432206,0.1379618242486963,-2.1654752893878184,-0.012274910242032089,7.990924278439776
22,2.2,0.6912781411027753,0.7617782162597636,-0.3233200443682194,-2.086793537627624,0.7868175176019455,7.183899269702044
23,2.3000000000000003,0.765745290683909,0.7079067753695767,-0.7115854747830719,-1.936272793170409,1.50520744457215,5.704973393971029
24,2.4000000000000004,0.8328594961766906,0.6194611213031492,-1.0073339475948018,-1.7287023147734835,2.075704783969253,3.7299133255324843
25,2.5,0.8896375149445388,0.5064399858506163,-1.2001631913527544,-1.4838327031212333,2.4486961165225014,1.4760060641352162
26,2.6,0.9341474933468139,0.37942848303259835,-1.288401607158876,-1.2242030308276308,2.596296722936023,-0.822791481191576
27,2.7,0.9655232115510585,0.24875966441884112,-1.278155795826752,-0.9728012733459442,2.5140175748168656,-2.9407727258468395
28,2.8000000000000003,0.9838994262305821,0.12379732386724795,-1.1819137045585264,-0.7508072431227261,2.2199403022321818,-4.682873608699101
29,2.9000000000000004,0.9902826763245081,0.012376923507135817,-1.0168587380151055,-0.5756419489864989,1.7516529413622717,-5.902406688252204
30,3.0,0.9863748109320093,-0.07957442373577317,-0.8030519750763992,-0.45950072173279377,1.1614122725370513,-6.512656945889022
31,3.1,0.9743677915773534,-0.14823347150814403,-0.5616298671452219,-0.40848606393797887,0.510146577948149,-6.491608022794827
32,3.2,0.9567281166303805,-0.19190039716481755,-0.31314559026671407,-0.42238748637111223,-0.1390142243313337,-5.879829745653739
33,3.3000000000000003,0.9359877121443899,-0.21086258956148685,-0.07615612588753318,-0.495087206260783,-0.7269971988967076,-4.772253617051563
34,3.4000000000000004,0.9145555987180831,-0.20713162234232418,0.1338731166549728,-0.6155094623209694,-1.2042225606018637,-3.3051268290076123
35,3.5,0.8945613876759251,-0.18408796623049228,0.30530605370004404,-0.7689829866712319,-1.534735243502625,-1.6398210130258057
36,3.6,0.8777380054719847,-0.14607041160231538,0.43070670427703406,-0.9388547211517524,-1.6987173448052055,0.05464461104257623
37,3.7,0.865347305355462,-0.09794662537508547,0.5068612713138743,-1.1081800095218473,-1.693252883700948,1.6185260324740405
38,3.8000000000000003,0.8581486803969676,-0.04469815733954052,0.5344927305018454,-1.2613200375672016,-1.5314002804535438,2.9160874600952376
39,3.9000000000000004,0.8564076738875539,0.008951920725283613,0.5177262660512161,-1.3852991910116035,-1.23979153444402,3.8468601834355933
40,4.0,0.8599390645420243,0.05884709587070269,0.4633747148618417,-1.4708097426216495,-0.8551055161004606,4.3525935877372
41,4.1000000000000005,0.8681770930616944,0.10162686369765195,0.38011768317707806,-1.5127943583543235,-0.4198461573267406,4.41956067148692
42,4.2,0.8802644372815547,0.1348706325061183,0.2776466332113259,-1.5105833673721283,0.022109909821951435,4.07636813671488
43,4.3,0.8951512195629181,0.15715619033991712,0.1658418204550538,-1.4676086950227842,0.42974672349343945,3.387852422363583
44,4.4,0.9116956753495381,0.16803899659712906,0.054036578267555035,-1.3907554984498045,0.7685319657297978,2.4459797722636267
45,4.5,0.9287590188823439,0.16796350599342813,-0.049588668696703975,-1.2894425041541884,1.0131299429561604,1.3588852874091621
46,4.6000000000000005,0.9452883765482237,0.15812126285778827,-0.1384548450062112,-1.1745406569844807,1.1490184716970766,0.239271863629968
47,4.7,0.9603832714539016,0.1402725369921859,-0.20786208626617786,-1.0572460911784733,1.1729456580600734,-0.8066520317363217
48,4.800000000000001,0.9733428839466609,0.1165488456045527,-0.2550979003236198,-0.9480180456898292,1.0922804548864413,-1.688671158521542
49,4.9,0.9836930405748121,0.08925295692746193,-0.2793886461341377,-0.8556767117864005,0.9234133390342871,-2.339715815422162
50,5.0,0.9911934753321533,0.060671116377725154,-0.2817170592647966,-0.7867325360371934,0.6894417574920709,-2.720181643798605
51,5.1000000000000005,0.9958272638503571,0.03290954507450261,-0.264535431544205,-0.7449901767259723,0.41742359311221044,-2.819249187348916
52,5.2,0.9977753843470538,0.0077640300688841535,-0.2314079498719257,-0.7314403092882404,0.13549867437731883,-2.653341738024377
53,5.300000000000001,0.997380069864134,-0.01337204489988253,-0.18661670021567767,-0.7444238592307524,-0.12983549942511885,-2.262125209626018
54,5.4,0.9951009753670773,-0.02955930997425138,-0.13476423057918185,-0.7800286612695244,-0.35604802038772065,-1.702655613246261
55,5.5,0.9914682078692837,-0.0403248910157189,-0.08040177828849415,-0.8326600194407591,-0.5263135817123468,-1.0424041451872252
56,5.6000000000000005,0.9870359971639335,-0.04563966563195021,-0.02770684281443725,-0.895715419063866,-0.6305539962310693,-0.35193184149093426
57,5.7,0.9823402747428936,-0.04586625957860635,0.0197726822604688,-0.9622901371018823,-0.6657471803801628,0.30205129882792114
58,5.800000000000001,0.9778627452482123,-0.04168512917985645,0.05929752076220263,-1.0258443421516192,-0.6355420504973707,0.8626129244956875
59,5.9,0.9740032489069224,-0.034006755426165824,0.08903568221056701,-1.0807724179563993,-0.5492807580478019,1.2870374266810174
60,6.0,0.9710613941629791,-0.023877992737743048,0.10808352661400289,-1.1228301194943693,-0.4205770153797001,1.549492151953185
61,6.1000000000000005,0.9692276503593737,-0.012390050103365247,0.11641723011343863,-1.1493928995128075,-0.2656278001843816,1.641833298906196
62,6.2,0.968583384142306,-0.0005945467150553219,0.11478669662167984,-1.1595373465421837,-0.101444470293762,1.5726517771386597
63,6.300000000000001,0.9691087410163627,0.010567289220970721,0.10456663617466333,-1.1539552758001732,0.05582070742010398,1.364819460745256
64,6.4,0.9706968419865002,0.020318780519877344,0.08758081548651542,-1.1347250104507103,0.19230265349462958,1.0519158708774743
65,6.5,0.9731724971203382,0.028083452318273805,0.06591545813986466,-1.1049755863924726,0.297494240582377,0.6739865945457275
66,6.6000000000000005,0.976313532450155,0.033501872147850276,0.0417365940883041,-1.0684862963887776,0.36489290003694974,0.2731053883523753
67,6.7,0.9798728715499082,0.036430771135934625,0.017124056796424814,-1.0292659525015588,0.3922034388721873,-0.11081519835751585
68,6.800000000000001,0.9835996866773419,0.03692668350713524,-0.006067933596876074,-0.9911537605979153,0.3811219190364357,-0.4435874462838676
69,6.9,0.9872582082513353,0.03521718441655941,-0.02631680121553126,-0.9574774431571104,0.3367631744080489,-0.6994066603235947
70,7.0,0.9906431235606538,0.031663323264028986,-0.04250070371197845,-0.9307951923195414,0.26682250837568944,-0.862439349573739
71,7.1000000000000005,0.993590872904141,0.02671704367416372,-0.053930226692558425,-0.9127373349777099,0.1805785734183155,-0.9272964945998066
72,7.2,0.9959865322954865,0.0208772779255173,-0.060344984676519164,-0.9039524425818765,0.08784892395833485,-0.8984591751847049
73,7.300000000000001,0.9977663284892445,0.014648046738859888,-0.06187968035714364,-0.9041521419378901,-0.0019969935601356348,-0.7888183021685187
74,7.4,0.9989161416432585,0.008501341854088573,-0.059005819633237144,-0.9122400243155888,-0.0808788237769875,-0.6175595166345413
75,7.5,0.9994665968600622,0.002846882812212459,-0.052456276319584605,-0.9265035018596329,-0.14263477544044165,-0.40766423736260826
76,7.6000000000000005,0.999485518205701,-0.0019899134098283477,-0.04314025538982025,-0.9448436217773032,-0.18340119917670247,-0.18330740099325737
77,7.7,0.9990686141780966,-0.005781168265751591,-0.03205597016431028,-0.965016815704906,-0.2017319392760282,0.03258623810605421
78,7.800000000000001,0.9983292845525507,-0.008401107442690403,-0.020207616086675984,-0.9848641472514483,-0.19847331546542277,0.22040763350541148
79,7.9,0.9973883926895585,-0.009822691483086787,-0.00853210580096242,-1.0025074024629366,-0.17643255211488162,0.3653905036398317
80,8.0,0.9963647462559333,-0.010107528602882887,0.00216034489892436,-1.0164967526380264,-0.13989350175089846,0.45850849069049815
81,8.1,0.9953668869689819,-0.009390622503301915,0.011229192210832073,-1.0259010179062114,-0.09404265268184864,0.49672170143378125
82,8.200000000000001,0.9944866217552729,-0.007861690160716472,0.018229016568396816,-1.0303380661600583,-0.04437048253847051,0.48261736169177993
83,8.3,0.9937945489368386,-0.005744819189622552,0.02291776569927073,-1.0299489407969875,0.0038912536307074905,0.4235436437075535
84,8.4,0.9933376579173484,-0.003278137020862326,0.025249305736999017,-1.0253243789968411,0.04624561800146284,0.33037475114043247
85,8.5,0.9931389215326661,-0.0006949580422227486,0.02535274394867837,-1.0173960696852906,0.07928309311550609,0.21606681906406244
86,8.6,0.9931986663089039,0.0017924117688733476,0.023501639024200993,-1.0073070921830993,0.10088977502191233,0.09416780989811713
87,8.700000000000001,0.9934974038864408,0.00400536976261745,0.020076562306498014,-0.9962764365819269,0.11030655601172405,-0.022568151328044905
88,8.8,0.9939997402614273,0.00580772423017295,0.015524528175006602,-0.9854714624940349,0.10804974087891957,-0.12333771332429677
89,8.9,0.9946589487324754,0.0071102753976187705,0.010318605978451578,-0.9758998655393859,0.09571596954648989,-0.20012782682787744
90,9.0,0.9954217953409511,0.007871445425863266,0.0049206062903955905,-0.9683295468530156,0.07570318686370214,-0.24818976492403522
91,9.1,0.996233237817648,0.008094396655697889,-0.0002508426438174727,-0.9632411258158858,0.050884210371298616,-0.26614057403596014
92,9.200000000000001,0.9970406746720907,0.007821276897099771,-0.004845185647517347,-0.9608141105191156,0.024270152967702602,-0.25572230105563953
93,9.3,0.997797493197068,0.007125359526194419,-0.008596865095439332,-0.9609443182329017,-0.001302077137861353,-0.221279808562441
94,9.4,0.9984657465773296,0.006101903878011905,-0.011334035205926019,-0.9632873240323122,-0.023430057994105455,-0.16903923590947834
95,9.5,0.9990178739726704,0.0048585524850092154,-0.012979444706961996,-0.9673207221908176,-0.04033398158505329,-0.10628005678006858
96,9.600000000000001,0.9994374570743314,0.003506014936619506,-0.013544385219654842,-0.9724169209171236,-0.05096198726306014,-0.04049423282238962
97,9.700000000000001,0.9997190769599943,0.002149675441078247,-0.013116993050765746,-0.9779180619716535,-0.05501141054529911,0.021382799861777713
98,9.8,0.999867392162547,0.0008826163264663567,-0.01184644159155368,-0.9832053750275657,-0.05287313055912134,0.07360080246024658
99,9.9,0.9998956002252876,-0.000219612877232489,-0.009924669461069957,-0.9877566800588753,-0.04551305031309668,0.11203585315472431
100,10.0,0.9998234695871006,-0.0011023175657476347,-0.007567265490787678,-0.9911876265586377,-0.034309464997624245,0.13442042645500862
101,10.100000000000001,0.999675136712138,-0.0017330659753900246,-0.004994993556856064,-0.99327436879385,-0.020867422352123383,0.1403624774120047
102,10.200000000000001,0.9994768563920226,-0.0021013162771188476,-0.00241721208930068,-0.9939574862549423,-0.006831174610922912,0.13117460108056989
103,10.3,0.9992548734567143,-0.0022165083932501606,-1.8152348363331683e-05,-0.9933288577052288,0.006286285497134078,0.10955102612229695
104,10.4,0.9990335547133725,-0.002104946746791514,0.0020533050819393495,-0.9916047188942925,0.01724138810936377,0.07914134796728689
105,10.5,0.998833884107356,-0.0018058473768622907,0.003690047083126924,-0.9890891666036832,0.02515552290609246,0.04407498420430045
106,10.600000000000001,0.9986723852380001,-0.0013669373301661292,0.004829342174406115,-0.9861328644710309,0.029563021326522505,0.008489475763786558
107,10.700000000000001,0.9985604966413227,-0.0008399789419810677,0.005451930108613112,-0.9830916675807407,0.03041196890290116,-0.02389032668226676
108,10.8,0.9985043894496038,-0.0002765513084435067,0.005578085187443738,-0.9802893739572733,0.028022936234674486,-0.050085302165902235
109,10.9,0.998505186379634,0.0002756380955076798,0.005261308852028135,-0.9779879333554649,0.023014406018084264,-0.0680832086670975
110,11.0,0.9985595170687054,0.0007757104619621202,0.004580397752707022,-0.9763673248403274,0.016206085151374516,-0.07693766606104724
111,11.100000000000001,0.9986603284720265,0.0011917176460490841,0.0036306591690266066,-0.9755160929858004,0.008512318545269792,-0.07674810396700238
112,11.200000000000001,0.9987978605979152,0.0015018422957674415,0.0025150124599998547,-0.9754323421709434,0.0008375081485695541,-0.06853548045998537
113,11.3,0.99896069693118,0.001694720138049055,0.0013356327945412971,-0.9760339461606863,-0.006016039897428983,-0.05403752918391014
114,11.4,0.999136804625525,0.001768968854675701,0.00018667373426761724,-0.9771759254422683,-0.011419792815819996,-0.03545290650624722
115,11.5,0.9993144907021151,0.0017320548849025785,-0.0008515384752938449,-0.9786724337889128,-0.014965083466444718,-0.015165671623279309
116,11.600000000000001,0.9994832156025055,0.001598661159616932,-0.0017166004811525193,-0.98032059885179,-0.01648165062877265,0.004519795171727736
117,11.700000000000001,0.9996342229340385,0.0013887347886720747,-0.002366331530573307,-0.98192356596295,-0.016029671111599874,0.021607560081486454
118,11.8,0.9997609625602399,0.0011253948535022706,-0.002779331710178745,-0.9833104574732952,-0.01386891510345123,0.034583115438801215
119,11.9,0.9998593019047389,0.0008328684466363256,-0.002953972128846849,-0.9843515178292522,-0.010410603559571107,0.042518800899481235
120,12.0,0.9999275362495672,0.0005346004277329008,-0.002906082347509109,-0.9849673901762145,-0.006158723469622983,0.045107987727437404
121,12.100000000000001,0.9999662219902855,0.0002516519771345038,-0.00266566182446637,-0.9851321826459024,-0.001647924696879243,0.04263197105875882
122,12.200000000000001,0.9999778666449941,1.4680628396268602e-06,-0.0022729724835079956,-0.9848706554050027,0.0026152724089966396,0.03586994809097277
123,12.3,0.9999665156028534,-0.0002029425195670953,-0.0017743703533884547,-0.9842504286831933,0.006202267218093917,0.025967175642371387
124,12.4,0.9999372781410807,-0.0003534060078380641,-0.0012182091311124799,-0.9833705302049602,0.008798984782331057,0.014279098678077418
125,12.5,0.9998958344012858,-0.0004465843457895913,-0.0006511024825267553,-0.9823478407399464,0.010226894650138799,0.0022098567621835485
126,12.600000000000001,0.9998479612719228,-0.00048362650434341514,-0.00011477080405775109,-0.9813030527073107,0.010447880326357155,-0.008937740534022964
127,12.700000000000001,0.9997991091004171,-0.0004695385066011415,0.00035637171389157896,-0.9803476420800151,0.009554106272954858,-0.01808659446863281
128,12.8,0.9997540535706025,-0.00041235216156509935,0.0007368064358664883,-0.979573097397406,0.007745446826091577,-0.024473937146009206
129,12.9,0.9997166386681041,-0.00032217721942784383,0.0010106624182770751,-0.9790432920862568,0.005298053111490656,-0.0276987455678821
130,13.0,0.999689618126717,-0.00021021967790968432,0.001171679805317405,-0.9787904742307866,0.0025281785547024457,-0.027727254979666327
131,13.100000000000001,0.9996745947325222,-8.784125836436285e-05,0.001222483931742624,-0.978814928925113,-0.00024454694326418724,-0.024860216480384167
132,13.200000000000001,0.9996720498750441,3.4277108438840465e-05,0.0011733071237474135,-0.9790879857842433,-0.002730568591302604,-0.019669074815825027
133,13.3,0.99968145015421,0.00014682016638511985,0.0010403182375551268,-0.9795577333915317,-0.004697476072885107,-0.012910688469698783
134,13.4,0.9997014139083211,0.00024234075594986582,0.0008437286451085102,-0.9801565878835172,-0.005988544919854985,-0.005431437161762531
