step,x(t+1),p(t+1)
1,1.0,0.4096558094024658
2,1.0,0.2706902027130127
3,1.0,0.1456211656332016
4,1.0,0.03305904567241669
5,1.0,-0.06824685633182526
6,1.0,-0.15942217409610748
7,1.0,-0.24147996306419373
8,1.0,-0.31533196568489075
9,1.0,-0.38179877400398254
10,1.0,-0.4416188895702362
11,1.0,-0.4954569935798645
12,1.0,-0.5439112782478333
13,1.0,-0.587520182132721
14,1.0,-0.626768171787262
15,1.0,-0.6620913743972778
16,1.0,-0.6938822269439697
17,1.0,-0.7224940061569214
18,1.0,-0.74824458360672
19,1.0,-0.7714201211929321
20,1.0,-0.7922781109809875
21,1.0,-0.811050295829773
22,1.0,-0.8279452919960022
23,1.0,-0.843150794506073
24,1.0,-0.8568357229232788
25,1.0,-0.8691521286964417
26,1.0,-0.8802369236946106
27,1.0,-0.8902132511138916
28,1.0,-0.8991919159889221
29,1.0,-0.9072727560997009
30,1.0,-0.914545476436615
31,1.0,-0.9210909008979797
32,1.0,-0.9269818067550659
33,1.0,-0.9322836399078369
34,1.0,-0.9370552897453308
35,1.0,-0.9413497447967529
36,1.0,-0.9452147483825684
37,1.0,-0.9486932754516602
38,1.0,-0.9518239498138428
39,1.0,-0.954641580581665
40,1.0,-0.9571774005889893
41,1.0,-0.959459662437439
42,1.0,-0.9615136981010437
43,1.0,-0.9633623361587524
44,1.0,-0.9650260806083679
45,1.0,-0.9665234684944153
46,1.0,-0.9678711295127869
47,1.0,-0.9690840244293213
48,1.0,-0.9701756238937378
49,1.0,-0.9711580872535706
50,1.0,-0.9720422625541687
